# ra dec
3.39542 -0.31506
3.39782 -0.28631
3.41160 -0.37467
3.45209 -0.42123
3.46060 -0.41467
3.41666 -0.33464
3.36145 -0.25169
3.39720 -0.31821
3.43793 -0.40408
3.41148 -0.32900
3.38021 -0.28839
3.40074 -0.33686
3.42978 -0.38822
3.38927 -0.29741
3.45106 -0.41695
3.40123 -0.32551
3.42779 -0.37399
3.41055 -0.32592
3.39189 -0.32279
3.39365 -0.32490
3.43373 -0.41017
3.40460 -0.32473
3.39870 -0.32003
3.40289 -0.35759
3.42608 -0.34280
3.36777 -0.27238
3.39684 -0.31905
3.40857 -0.35604
3.41084 -0.33603
3.40035 -0.31733
3.40368 -0.32685
3.39017 -0.30131
3.41753 -0.36278
3.41229 -0.35706
3.39729 -0.29265
3.41416 -0.35844
3.36150 -0.28342
3.41880 -0.33506
3.45293 -0.38794
3.40811 -0.33748
3.45413 -0.44315
3.38394 -0.31086
3.43473 -0.37901
3.44002 -0.38853
3.41039 -0.33514
3.41615 -0.36975
3.38482 -0.30530
3.43212 -0.39253
3.41526 -0.33950
3.41717 -0.35106
3.39046 -0.30550
3.38777 -0.32053
3.39774 -0.34116
3.39354 -0.30547
3.40955 -0.34206
3.39393 -0.31456
3.42794 -0.40101
3.42510 -0.36858
3.37799 -0.29671
3.41227 -0.32297
3.36781 -0.27277
3.39072 -0.32501
3.39702 -0.32868
3.43820 -0.38450
3.41479 -0.35136
3.39825 -0.32677
3.43279 -0.37683
3.39320 -0.32908
3.39285 -0.31819
3.42918 -0.36661
3.43151 -0.39153
3.43480 -0.38169
3.43003 -0.37648
3.42523 -0.36109
3.39931 -0.32024
3.39184 -0.31111
3.40404 -0.32028
3.39300 -0.30578
3.42583 -0.38808
3.40919 -0.30812
3.40738 -0.32270
3.40070 -0.35930
3.46190 -0.40965
3.40158 -0.30950
3.41973 -0.38413
3.46392 -0.39673
3.40645 -0.33618
3.43052 -0.38329
3.36634 -0.26450
3.42525 -0.35386
3.39420 -0.30876
3.43669 -0.40294
3.41410 -0.33805
3.39493 -0.32607
3.40130 -0.33391
3.40348 -0.35155
3.45089 -0.42049
3.38185 -0.29345
3.42284 -0.35580
3.36328 -0.25680
3.38823 -0.32427
3.43385 -0.37745
3.44570 -0.41052
3.44819 -0.41298
3.44162 -0.39913
3.46692 -0.42000
3.43692 -0.38636
3.44899 -0.40225
3.42606 -0.37521
3.41015 -0.35246
3.38741 -0.31898
3.41215 -0.36242
3.40601 -0.33313
3.39955 -0.32850
3.42550 -0.35333
3.41056 -0.33128
3.37903 -0.29627
3.45857 -0.40744
3.39598 -0.30304
3.43368 -0.35865
3.39071 -0.30717
3.41746 -0.35764
3.40794 -0.32577
3.38323 -0.30737
3.36913 -0.29517
3.40255 -0.33317
3.37977 -0.29649
3.41909 -0.34563
3.38073 -0.29672
3.41495 -0.35880
3.39842 -0.33734
3.41860 -0.34514
3.41556 -0.34616
3.41854 -0.33590
3.40920 -0.34341
3.42640 -0.36915
3.38118 -0.31338
3.43814 -0.38690
3.41189 -0.35594
3.41692 -0.34407
3.45952 -0.41043
3.40946 -0.34348
3.39625 -0.31293
3.39821 -0.32338
3.38243 -0.28413
3.38946 -0.31554
3.37070 -0.28292
3.40972 -0.34723
3.40222 -0.30793
3.41148 -0.33439
3.39084 -0.30895
3.42222 -0.38084
3.42959 -0.37256
3.39077 -0.32232
3.40988 -0.35192
3.40158 -0.34762
3.41549 -0.33338
3.40025 -0.31930
3.40928 -0.35814
3.40931 -0.32413
3.39793 -0.31254
3.41586 -0.34690
3.39760 -0.34578
3.41364 -0.33492
3.39958 -0.32755
3.41054 -0.33447
3.44583 -0.38379
3.40393 -0.34423
3.43079 -0.39297
3.37164 -0.29153
3.35859 -0.25352
3.42229 -0.38309
3.40008 -0.32627
3.42583 -0.37919
3.42494 -0.38147
3.40220 -0.31541
3.41113 -0.35901
3.40189 -0.32701
3.38566 -0.30266
3.42205 -0.35824
3.43722 -0.40245
3.39731 -0.32780
3.41235 -0.32849
3.40198 -0.34939
3.42240 -0.36801
3.43173 -0.36713
3.36498 -0.27931
3.39434 -0.31316
3.44086 -0.40722
3.41592 -0.37473
3.40556 -0.33340
3.41522 -0.36067
3.43114 -0.40779
3.38035 -0.32372
3.38045 -0.28267
3.38303 -0.28306
3.40925 -0.33756
3.40732 -0.35635
3.42202 -0.36893
3.41584 -0.35124
3.38036 -0.30357
3.42861 -0.39272
3.43954 -0.40568
3.42733 -0.35068
3.40660 -0.35109
3.43202 -0.38017
3.39496 -0.32590
3.44546 -0.40398
3.40281 -0.31791
3.39143 -0.30439
3.40431 -0.34737
3.42372 -0.38091
3.41980 -0.34413
3.39805 -0.32363
3.45292 -0.41370
3.41082 -0.33643
3.38058 -0.30943
3.40595 -0.32176
3.39697 -0.32896
3.43772 -0.38675
3.41074 -0.34251
3.39505 -0.31143
3.42113 -0.38375
3.40089 -0.34518
3.38473 -0.30329
3.40353 -0.36073
3.40084 -0.33385
3.39046 -0.33112
3.39222 -0.30674
3.41163 -0.34344
3.41861 -0.35593
3.40051 -0.32814
3.42592 -0.38092
3.42028 -0.36297
3.43538 -0.37961
3.36974 -0.30678
3.41362 -0.35748
3.44115 -0.39641
3.38467 -0.31182
3.43027 -0.37662
3.41106 -0.34537
3.41922 -0.35111
3.38626 -0.31889
3.41776 -0.32482
3.42862 -0.37703
3.42559 -0.38185
3.41873 -0.32860
3.35975 -0.27919
3.42975 -0.39275
3.41522 -0.33218
3.41841 -0.38475
3.42117 -0.37185
3.40523 -0.34674
3.41000 -0.35823
3.39319 -0.32951
3.44256 -0.38782
3.37140 -0.28532
3.40930 -0.33172
3.39686 -0.33430
3.45983 -0.43818
3.44157 -0.40296
3.36777 -0.27101
3.38471 -0.29308
3.38248 -0.31288
3.44451 -0.40441
3.41470 -0.34294
3.41790 -0.36186
3.43698 -0.38429
3.40266 -0.33992
3.43947 -0.39677
3.44788 -0.41883
3.40125 -0.33547
3.39136 -0.33797
3.37625 -0.26910
3.42349 -0.37040
3.40869 -0.34748
3.38299 -0.30637
3.39439 -0.32545
3.39567 -0.33145
3.41957 -0.35730
3.39940 -0.31523
3.40319 -0.32907
3.40220 -0.33214
3.38835 -0.30411
3.40935 -0.33836
3.38428 -0.28846
3.43617 -0.38516
3.41910 -0.36650
3.40656 -0.32544
3.42927 -0.38679
3.43155 -0.37672
3.42057 -0.39326
3.44650 -0.41842
3.40004 -0.31530
3.38867 -0.31629
3.42587 -0.37017
3.38586 -0.31368
3.40223 -0.32412
3.40265 -0.33035
3.39871 -0.32647
3.43783 -0.37673
3.45472 -0.42074
3.42898 -0.39096
3.40662 -0.31821
3.39208 -0.30830
3.42234 -0.35473
3.44173 -0.39333
3.45756 -0.42123
3.40934 -0.36377
3.42709 -0.36308
3.38413 -0.29324
3.37695 -0.30529
3.39989 -0.32678
3.37460 -0.29167
3.44538 -0.41060
3.42174 -0.34757
3.40486 -0.31608
3.40261 -0.34650
3.39846 -0.32209
3.40491 -0.33195
3.41976 -0.37016
3.44842 -0.39389
3.45006 -0.39614
3.41402 -0.34592
3.44627 -0.39882
3.42903 -0.34409
3.41219 -0.33663
3.41778 -0.35866
3.40037 -0.31127
3.42530 -0.37835
3.42731 -0.37005
3.39812 -0.30895
3.40035 -0.32800
3.44513 -0.39670
3.42355 -0.35050
3.44088 -0.38661
3.40137 -0.32054
3.43597 -0.40149
3.42519 -0.34469
3.46363 -0.42848
3.43096 -0.36994
3.41749 -0.37120
3.40288 -0.33579
3.43887 -0.40886
3.41525 -0.37690
3.40984 -0.30282
3.43796 -0.39083
3.37909 -0.27420
3.41992 -0.34166
3.40938 -0.33559
3.43427 -0.36425
3.40113 -0.30930
3.38942 -0.30347
3.41660 -0.38179
3.41559 -0.33524
3.38892 -0.30166
3.37077 -0.28552
3.40912 -0.35835
3.39871 -0.31954
3.39278 -0.31512
3.40848 -0.35007
3.42920 -0.34068
3.41401 -0.33999
3.41722 -0.36503
3.43057 -0.36693
3.40632 -0.34980
3.41555 -0.34775
3.42836 -0.39189
3.43202 -0.37094
3.41701 -0.37676
3.42116 -0.34931
3.39935 -0.33294
3.38365 -0.29164
3.42494 -0.35376
3.39835 -0.34339
3.43565 -0.36654
3.38954 -0.33410
3.43819 -0.34546
3.40347 -0.34949
3.43116 -0.36547
3.40207 -0.33788
3.39764 -0.32424
3.42955 -0.37570
3.40463 -0.34097
3.37903 -0.29095
3.41922 -0.36646
3.38889 -0.29460
3.38919 -0.30163
3.36978 -0.28735
3.40667 -0.33524
3.40417 -0.32421
3.39613 -0.29751
3.48729 -0.44915
3.38405 -0.27555
3.40199 -0.33146
3.41653 -0.35056
3.40938 -0.31744
3.40667 -0.32693
3.38425 -0.32292
3.41607 -0.36528
3.44093 -0.39622
3.42047 -0.36563
3.38831 -0.31879
3.36634 -0.26700
3.38954 -0.32285
3.40143 -0.35594
3.41531 -0.36125
3.40755 -0.34442
3.41752 -0.37098
3.43181 -0.37179
3.39466 -0.29523
3.40447 -0.34102
3.46102 -0.41121
3.44803 -0.42458
3.39660 -0.30931
3.39977 -0.33132
3.40575 -0.31206
3.43053 -0.41159
3.44007 -0.38421
3.40635 -0.33740
3.41077 -0.33503
3.39057 -0.31834
3.39857 -0.32434
3.40452 -0.31229
3.42302 -0.38280
3.36255 -0.26755
3.40365 -0.34057
3.43668 -0.41768
3.42263 -0.36684
3.40603 -0.33832
3.43108 -0.39901
3.41322 -0.33425
3.40601 -0.32380
3.39669 -0.31517
3.40665 -0.34025
3.39236 -0.31173
3.39066 -0.32569
3.37794 -0.28928
3.40466 -0.33182
3.38759 -0.33667
3.36347 -0.26764
3.40621 -0.35872
3.39911 -0.33166
3.39965 -0.33680
3.42253 -0.35464
3.37893 -0.30239
3.44499 -0.44659
3.42289 -0.34806
3.36484 -0.26948
3.44821 -0.39694
3.40531 -0.33346
3.39459 -0.32176
3.40426 -0.34114
3.45469 -0.39995
3.43582 -0.39041
3.38718 -0.29630
3.41873 -0.37629
3.42338 -0.38194
3.37459 -0.28619
3.39069 -0.32032
3.45172 -0.43102
3.39619 -0.32342
3.42747 -0.37466
3.39227 -0.33047
3.43990 -0.40665
3.36499 -0.27040
3.40658 -0.32728
3.39934 -0.32403
3.39123 -0.32054
3.37997 -0.30835
3.42007 -0.36749
3.46332 -0.40183
3.40871 -0.31953
3.39579 -0.31641
3.41758 -0.33984
3.43023 -0.35793
3.42790 -0.39244
3.42035 -0.38442
3.42645 -0.36107
3.43930 -0.39474
3.41637 -0.37270
