# ra dec
3.40665 -0.33391
3.38098 -0.31948
3.41018 -0.35783
3.42700 -0.36617
3.43720 -0.38688
3.45683 -0.41812
3.36920 -0.27999
3.40460 -0.32411
3.45840 -0.42391
3.41286 -0.33840
3.43675 -0.42535
3.42371 -0.38292
3.40738 -0.33309
3.43253 -0.37140
3.44410 -0.41121
3.41419 -0.33794
3.40358 -0.30854
3.39262 -0.30223
3.36789 -0.26729
3.37907 -0.28953
3.39995 -0.34008
3.44565 -0.39863
3.45480 -0.41989
3.39651 -0.33262
3.42957 -0.39310
3.38537 -0.28967
3.38216 -0.30007
3.43900 -0.38478
3.41649 -0.35199
3.38142 -0.29957
3.42237 -0.37551
3.42205 -0.35771
3.42847 -0.36801
3.42455 -0.38374
3.42538 -0.38863
3.39176 -0.32403
3.42086 -0.33735
3.41894 -0.35174
3.41120 -0.33123
3.41961 -0.34553
3.39647 -0.30932
3.42398 -0.36828
3.45794 -0.43646
3.40842 -0.32635
3.41893 -0.38162
3.42990 -0.36174
3.45262 -0.43296
3.41649 -0.37032
3.39405 -0.32045
3.38523 -0.29186
3.40081 -0.29962
3.42475 -0.38206
3.43446 -0.36751
3.37661 -0.28030
3.40029 -0.32189
3.40718 -0.35981
3.42214 -0.36385
3.42229 -0.38708
3.39436 -0.33494
3.41483 -0.36230
3.43229 -0.41601
3.39732 -0.33074
3.41568 -0.35812
3.40652 -0.33255
3.39286 -0.29298
3.41289 -0.34918
3.41730 -0.36137
3.40896 -0.32163
3.39790 -0.33288
3.38374 -0.31845
3.39229 -0.29764
3.41305 -0.33866
3.39453 -0.30557
3.39155 -0.31706
3.42437 -0.39559
3.42439 -0.35387
3.41654 -0.34878
3.40461 -0.33233
3.40108 -0.32607
3.42343 -0.34917
3.45824 -0.44686
3.38732 -0.32314
3.39378 -0.30935
3.42518 -0.34734
3.41934 -0.35459
3.41214 -0.35250
3.40086 -0.31117
3.39379 -0.35271
3.40894 -0.31624
3.44873 -0.41400
3.43039 -0.38962
3.42325 -0.37640
3.39208 -0.31199
3.41712 -0.34052
3.38334 -0.28259
3.45133 -0.41950
3.39944 -0.31889
3.40637 -0.31240
3.40048 -0.32649
3.46276 -0.42311
3.39801 -0.33979
3.36652 -0.26864
3.42249 -0.38534
3.40105 -0.35375
3.39098 -0.31541
3.39841 -0.33179
3.40638 -0.34649
3.39429 -0.31613
3.43721 -0.36145
3.40981 -0.34991
3.41344 -0.34677
3.43588 -0.35162
3.41857 -0.34809
3.41196 -0.32213
3.38406 -0.28671
3.41475 -0.33715
3.36266 -0.30329
3.43209 -0.36800
3.40611 -0.32297
3.41419 -0.33980
3.42765 -0.37939
3.42838 -0.38049
3.41900 -0.35565
3.40799 -0.35199
3.43641 -0.38809
3.41400 -0.36282
3.38991 -0.31661
3.41818 -0.38539
3.40704 -0.34236
3.40743 -0.34452
3.41909 -0.38245
3.41201 -0.34858
3.36442 -0.25519
3.44285 -0.39100
3.41733 -0.35610
3.44107 -0.39928
3.43542 -0.37950
3.45109 -0.44382
3.40681 -0.35042
3.41869 -0.34243
3.40648 -0.35296
3.45096 -0.39494
3.38635 -0.28107
3.42087 -0.35829
3.41593 -0.36476
3.39571 -0.30748
3.42653 -0.39163
3.37152 -0.27159
3.41676 -0.34791
3.40083 -0.32594
3.39633 -0.31340
3.40979 -0.35430
3.43379 -0.37703
3.42262 -0.36974
3.41422 -0.36615
3.41139 -0.31679
3.36549 -0.29506
3.42785 -0.34549
3.37137 -0.25253
3.39795 -0.31904
3.43881 -0.36826
3.43385 -0.37111
3.42191 -0.37925
3.40453 -0.34703
3.40023 -0.33056
3.39714 -0.30507
3.41963 -0.36744
3.38172 -0.28688
3.37397 -0.28985
3.42676 -0.40377
3.39309 -0.33021
3.41638 -0.33954
3.40807 -0.33142
3.42157 -0.35351
3.43442 -0.36478
3.39954 -0.34769
3.39523 -0.30558
3.41782 -0.36285
3.41686 -0.35069
3.42859 -0.37146
3.40592 -0.33820
3.39629 -0.31728
3.40149 -0.32808
3.39041 -0.33816
3.42792 -0.36106
3.41885 -0.32081
3.39528 -0.32568
3.39736 -0.31964
3.39059 -0.29921
3.43484 -0.37498
3.37487 -0.30631
3.39256 -0.30960
3.39392 -0.32853
3.39526 -0.32275
3.44255 -0.40390
3.37836 -0.27108
3.39782 -0.31613
3.41175 -0.34714
3.40646 -0.32782
3.42671 -0.37714
3.41039 -0.36926
3.40002 -0.31977
3.44153 -0.43178
3.45117 -0.39523
3.45211 -0.40096
3.38412 -0.31343
3.41431 -0.35591
3.40032 -0.31968
3.45322 -0.37595
3.39068 -0.32198
3.40622 -0.32974
3.39049 -0.30493
3.39852 -0.31671
3.38888 -0.32083
3.39357 -0.32201
3.43242 -0.37871
3.39384 -0.33552
3.38544 -0.29049
3.45540 -0.43577
3.40518 -0.31690
3.37399 -0.28617
3.42092 -0.33966
3.42457 -0.33584
3.41932 -0.36052
3.42014 -0.37481
3.40605 -0.32112
3.42870 -0.38834
3.41509 -0.34493
3.38414 -0.29000
3.42203 -0.38871
3.40828 -0.35482
3.41417 -0.34121
3.40518 -0.34320
3.39465 -0.31927
3.43053 -0.38495
3.39994 -0.34042
3.39729 -0.32160
3.36359 -0.27627
3.37962 -0.28927
3.40188 -0.32108
3.37678 -0.29202
3.45200 -0.42252
3.41376 -0.33999
3.41586 -0.36376
3.39060 -0.30368
3.37650 -0.27407
3.43707 -0.38696
3.42000 -0.33963
3.43386 -0.41941
3.42247 -0.34431
3.44097 -0.37158
3.35421 -0.24119
3.41360 -0.34434
3.42291 -0.37825
3.42001 -0.37388
3.41103 -0.35484
3.40357 -0.35504
3.42584 -0.35369
3.38768 -0.31810
3.40551 -0.33089
3.38481 -0.30905
3.38180 -0.29557
3.35376 -0.27004
3.42024 -0.38171
3.43672 -0.39080
3.44886 -0.40035
3.42835 -0.34167
3.41536 -0.35620
3.39605 -0.30473
3.41869 -0.34997
3.39077 -0.31299
3.39245 -0.31273
3.43383 -0.36407
3.42905 -0.37417
3.43061 -0.38039
3.37933 -0.30602
3.39505 -0.33294
3.43311 -0.39508
3.41071 -0.35067
3.42444 -0.38854
3.37686 -0.28568
3.42444 -0.37426
3.41001 -0.33034
3.40023 -0.33153
3.42079 -0.35625
3.39616 -0.34080
3.43324 -0.39112
3.38547 -0.30333
3.39395 -0.33592
3.37898 -0.28134
3.43148 -0.37359
3.38675 -0.32448
3.42629 -0.37897
3.38849 -0.31622
3.42315 -0.35994
3.41219 -0.34029
3.39457 -0.31605
3.38334 -0.30692
3.39494 -0.32950
3.38684 -0.30834
3.40675 -0.33129
3.41006 -0.33846
3.38927 -0.30459
3.37684 -0.29760
3.41431 -0.36913
3.45182 -0.39864
3.40646 -0.33949
3.43005 -0.38354
3.41364 -0.34370
3.41856 -0.38548
3.44154 -0.40130
3.36915 -0.26641
3.41099 -0.36859
3.40785 -0.35045
3.45004 -0.39555
3.38417 -0.29523
3.39801 -0.30999
3.41413 -0.36964
3.38093 -0.30037
3.39961 -0.32490
3.39659 -0.32401
3.42234 -0.36455
3.42674 -0.35342
3.40727 -0.33563
3.44829 -0.40285
3.37214 -0.27675
3.44881 -0.40587
3.41583 -0.35128
3.43184 -0.37154
3.41314 -0.34985
3.43863 -0.42712
3.38458 -0.31925
3.41286 -0.34004
3.47433 -0.43554
3.37063 -0.29622
3.42219 -0.39505
3.40212 -0.34792
3.44116 -0.38396
3.39014 -0.30582
3.47513 -0.43678
3.42387 -0.35175
3.42838 -0.36711
3.42915 -0.36526
3.39425 -0.34548
3.40909 -0.37745
3.41199 -0.35514
3.38882 -0.27968
3.38144 -0.28407
3.39561 -0.31004
3.42901 -0.35851
3.40197 -0.31789
3.43998 -0.41056
3.40030 -0.31667
3.39848 -0.31192
3.43025 -0.36747
3.44467 -0.41747
3.38911 -0.30279
3.40137 -0.31814
3.41321 -0.35857
3.41977 -0.36677
3.38581 -0.32077
3.40498 -0.33926
3.40192 -0.32838
3.38116 -0.30533
3.40942 -0.34712
3.42688 -0.36340
3.38050 -0.29149
3.36900 -0.27894
3.43231 -0.39130
3.40815 -0.33169
3.41747 -0.35894
3.40662 -0.34138
3.40262 -0.32135
3.41606 -0.37032
3.43093 -0.38129
3.40547 -0.34996
3.39570 -0.31725
3.40298 -0.36237
3.41774 -0.35812
