# ra dec
0.74012 0.07986
0.70404 0.05283
0.77672 0.12025
0.77133 0.19090
5.14186 -0.86775
4.62158 -0.51654
5.09695 -0.79358
0.71710 0.03583
5.20401 -0.87009
0.69961 0.06369
0.74769 0.04336
5.05544 -0.74438
4.60891 -0.48290
0.68091 -0.06283
1.03730 0.65432
0.99593 0.70151
1.15225 0.82488
0.80595 0.13422
0.66887 -0.03403
0.79157 0.14209
5.21964 -0.88600
0.78306 0.10362
0.78077 0.19538
0.80879 0.19038
0.87499 0.17801
4.29940 -0.13313
5.28529 -0.90777
0.68522 -0.04309
0.70133 -0.12112
1.05369 0.75960
1.10263 0.74861
5.17708 -0.84607
4.34076 -0.17146
0.76920 0.05162
5.24381 -0.90097
4.59030 -0.48961
4.62663 -0.47782
0.61687 -0.17042
0.77716 0.10880
2.64298 1.24345
0.64529 -0.16259
1.23362 0.96683
0.81571 0.14640
0.58399 0.04099
5.18670 -0.83363
4.28922 -0.05804
4.64865 -0.54270
1.33924 0.98247
1.02583 0.65268
4.66253 -0.54787
0.63716 -0.17002
5.35014 -0.86955
0.74260 0.06461
4.75878 -0.55945
1.03862 0.74753
4.25547 0.03289
4.64031 -0.47858
4.33906 -0.25204
5.23189 -0.91666
2.64781 1.24091
1.14187 0.83596
0.75596 0.12045
0.69668 -0.01490
4.26068 -0.09063
1.41743 1.03232
1.01997 0.65019
0.74218 0.05144
4.17903 0.04024
0.70516 -0.03720
4.29752 -0.00616
5.21792 -0.83485
0.79894 0.03120
5.19680 -0.86736
0.81022 0.19203
0.79450 0.18216
4.26929 -0.18643
5.05047 -0.77817
1.02657 0.78100
0.78202 0.15262
4.34661 -0.19297
4.25187 -0.14356
5.31106 -0.89199
1.04226 0.71645
0.73141 0.01149
0.65600 -0.11583
0.98736 0.71624
4.64255 -0.53846
1.18054 0.83749
0.71095 0.01140
0.79566 0.12628
0.66795 -0.03962
0.74769 0.07134
0.96914 0.52518
0.78383 0.11155
1.13951 0.79917
0.66923 -0.04510
4.26861 -0.09970
4.74405 -0.62231
0.68259 0.05632
0.92320 0.60670
0.75509 0.19882
0.71944 0.13447
5.26729 -0.85848
0.70703 -0.02833
1.07886 0.69173
5.28548 -0.86609
0.68841 0.01073
4.33170 -0.17682
4.40178 -0.26034
0.72799 0.02374
0.85315 0.27075
0.68767 -0.08658
0.75245 0.10087
0.72028 0.12547
0.77163 0.15804
0.79996 0.24854
0.69030 0.01745
4.64003 -0.47938
0.77681 0.13235
0.80856 0.17202
5.19417 -0.85884
0.68346 -0.05344
0.76195 0.16251
0.75174 -0.02556
5.20777 -0.85104
5.19114 -0.86668
1.16025 0.79900
1.24367 1.00771
5.24101 -0.84259
0.74953 0.06818
0.72486 -0.01148
2.65002 1.28717
4.61772 -0.53696
0.69021 0.11361
0.72921 0.13817
0.59810 -0.21695
4.35663 -0.19699
5.17177 -0.83849
0.65506 -0.12634
4.57776 -0.49911
0.70280 0.00164
5.04118 -0.77752
4.64040 -0.49794
0.75434 0.16600
0.73163 0.07131
0.64974 -0.16691
4.53678 -0.33896
5.20677 -0.83819
0.81176 0.16214
0.78631 0.13783
4.86429 -0.65793
0.76371 0.07868
1.11838 0.75403
0.79493 0.07052
1.08840 0.69249
0.77602 0.13874
5.22676 -0.84728
5.19406 -0.84873
0.66505 -0.07683
4.58090 -0.40895
0.74519 0.07688
4.66903 -0.59306
0.63417 -0.14513
0.78543 0.19255
0.74124 0.07200
0.73774 0.05862
1.51826 1.18892
5.19601 -0.86611
0.74581 0.14113
0.83723 0.25398
0.80469 0.06988
4.67511 -0.58779
1.25492 0.96394
0.78427 0.31042
0.79403 0.11119
4.65934 -0.49450
0.99000 0.63468
2.61442 1.25136
0.71596 0.03602
4.67345 -0.62528
4.88999 -0.70549
0.72931 0.00119
0.79589 0.10465
4.77890 -0.59189
0.78000 0.12803
2.60948 1.24339
4.61741 -0.51919
4.63761 -0.45737
0.76031 0.14465
4.28737 -0.12638
4.56677 -0.45755
0.82531 0.24595
4.29982 -0.06586
0.76301 0.03657
5.21780 -0.89627
4.34647 -0.16039
4.32841 -0.09267
4.91419 -0.70158
0.95532 0.70064
0.64753 -0.07918
0.70348 -0.12713
5.19749 -0.83945
0.75811 0.16208
1.01100 0.70472
0.06892 -0.74582
4.15614 0.04506
0.73872 0.11890
0.70822 0.06653
0.66589 -0.00487
5.20267 -0.87743
5.20223 -0.84625
4.85294 -0.73738
0.76134 0.12468
4.34689 -0.20477
5.06144 -0.75991
0.81442 0.18576
4.64421 -0.56507
4.23533 -0.07260
5.25936 -0.84519
0.68173 0.00131
5.25632 -0.87490
0.80170 0.14827
2.56646 1.21480
0.78908 0.07190
0.73767 0.15981
0.78706 0.15270
5.23492 -0.84390
1.25796 0.97502
0.78941 0.07715
0.76788 0.04923
0.70778 0.08203
1.52029 1.06454
0.84334 0.29499
4.27497 -0.07375
0.78787 0.00607
1.25384 0.98968
0.63658 -0.05222
5.16028 -0.86578
5.16534 -0.91273
4.95391 -0.75549
5.24089 -0.87512
4.62750 -0.50906
4.57992 -0.44350
1.00790 0.74719
0.70251 -0.01902
4.73757 -0.63678
0.72967 0.02897
1.29885 1.00740
4.74082 -0.56622
4.66929 -0.54786
4.79790 -0.59748
0.71257 -0.04241
5.21131 -0.87221
0.77275 0.01871
0.74819 0.07891
1.08381 0.80747
0.77245 0.08974
0.72804 0.06015
0.74348 0.09732
1.37483 1.08203
0.96277 0.62331
4.38890 -0.12696
4.69903 -0.53485
0.68612 -0.04718
4.60057 -0.49727
0.80707 0.25661
0.74293 0.05254
4.73975 -0.61335
0.97967 0.73809
0.76494 0.22991
0.72881 0.07094
5.25909 -0.86433
0.96731 0.69108
0.72668 -0.02442
0.75510 0.12631
5.19106 -0.86520
0.74075 0.12070
0.81973 0.20509
5.22556 -0.85450
0.74947 0.04498
0.67955 -0.12322
0.73343 0.03460
0.71988 -0.06762
1.28137 1.00750
4.93425 -0.72617
0.69501 0.05954
0.73738 0.08610
0.82246 0.16346
0.61921 -0.21174
4.28612 -0.11294
0.77450 0.27727
1.24677 0.90315
0.77475 0.09726
1.00883 0.68386
0.68461 -0.16811
1.43300 1.09084
4.36861 -0.09529
5.21375 -0.82508
0.76089 0.12670
0.74337 0.00353
5.21640 -0.89969
2.64838 1.28703
4.69112 -0.58165
0.96094 0.65519
1.40296 1.04901
1.34441 1.06835
1.40836 0.99792
5.23411 -0.84674
1.02294 0.66243
0.78124 0.16043
5.25328 -0.78003
4.80135 -0.66421
4.67397 -0.48554
0.73166 0.10162
4.63314 -0.57159
4.61938 -0.48267
4.68978 -0.58509
0.76755 0.09960
0.75818 0.15396
1.04935 0.77486
4.90008 -0.79945
4.35682 -0.19696
4.18899 0.01967
5.20808 -0.84649
0.72718 0.08486
4.63512 -0.57570
0.77364 0.23335
4.46606 -0.33195
5.22245 -0.85343
4.26087 0.04700
0.74032 -0.02657
0.74435 0.14277
0.66717 -0.05957
0.72027 0.06916
4.68909 -0.62554
0.68786 -0.01157
4.65837 -0.55229
5.15897 -0.84061
1.18245 0.87704
0.77799 0.08578
5.20766 -0.81109
0.74609 0.15998
0.94560 0.47998
0.77525 0.12055
1.38429 1.03408
0.81806 0.08980
5.21538 -0.85537
0.76267 0.18965
1.36824 1.20845
4.62395 -0.50024
0.77394 0.04823
0.82191 0.25536
0.68977 -0.11284
4.74947 -0.68421
0.76325 0.18282
0.76976 0.11040
0.79523 0.06932
0.72026 -0.04917
0.61738 -0.21619
4.60442 -0.49803
0.76118 0.13636
0.73235 0.11515
5.16508 -0.86913
4.62513 -0.44001
0.76056 0.07479
0.83426 0.21636
2.64460 1.29701
0.86628 0.25433
0.71943 -0.09492
0.66750 -0.03451
1.26466 0.90815
0.93071 0.50056
5.19704 -0.88711
0.73270 0.03824
1.39192 1.07976
0.78186 0.17064
5.21367 -0.85344
4.62227 -0.47241
0.74583 0.06593
0.67596 -0.00080
0.81450 0.19275
0.77753 0.10156
0.78652 0.12831
0.86858 0.29169
0.74751 0.13068
4.27460 -0.07301
4.55917 -0.47694
0.83378 0.25361
1.39770 1.02023
5.20044 -0.88157
4.29640 0.01393
0.71077 0.01482
0.75301 0.05029
1.12496 0.81762
0.64824 0.16919
0.58486 -0.22469
2.71453 1.28578
4.47600 -0.36372
0.71576 -0.01642
0.69337 -0.00596
0.78199 0.19664
0.62470 -0.15242
0.73152 0.04428
4.64307 -0.53172
1.03961 0.87159
0.79245 0.30831
0.79583 0.15314
4.38516 -0.27190
1.04285 0.63450
0.75481 -0.01194
4.25264 -0.13412
4.69046 -0.51776
0.79512 0.20495
4.62604 -0.50474
0.73117 0.05425
0.76382 0.04308
0.80027 0.07971
0.74362 0.11878
4.59829 -0.51693
0.74195 0.02334
0.95840 0.58804
5.17819 -0.84934
1.20368 0.91746
0.79255 0.13795
0.80867 0.09326
1.40421 1.04516
5.22046 -0.82126
0.78254 0.18848
0.65924 0.02783
0.80038 0.06320
5.18509 -0.82606
2.59255 1.27904
0.72375 0.04073
1.02894 0.67343
0.70263 -0.08059
5.22194 -0.84997
1.28327 0.92988
1.30150 0.97045
4.63849 -0.47323
0.73876 0.07849
0.77960 0.11115
0.70514 0.02390
5.20089 -0.84832
4.31014 -0.13901
0.72577 0.07168
4.38037 -0.17383
4.34640 -0.04286
0.72678 0.10443
0.72050 0.14277
4.62715 -0.52610
4.36993 -0.12822
0.77926 0.12119
0.78454 0.17819
0.74010 0.13110
4.56435 -0.43548
4.66875 -0.54685
5.22228 -0.82478
4.27082 -0.13331
0.89251 0.41373
4.39327 -0.22204
1.24645 0.94525
0.77311 0.18873
4.63773 -0.54838
4.60593 -0.44420
0.72865 0.09218
4.70736 -0.57287
5.25866 -0.86657
0.67032 -0.11744
0.76887 0.08078
0.68666 0.09823
0.78530 0.09758
5.21723 -0.86020
0.79220 0.17200
0.99361 0.61618
4.72652 -0.51793
1.31223 0.98710
0.95693 0.54130
4.99354 -0.74137
2.61458 1.25557
1.34979 1.05600
0.74412 0.03653
0.78756 0.13017
0.76443 0.21291
1.23062 0.90319
4.33362 -0.19230
0.78196 0.11440
1.06892 0.74334
0.75313 0.11677
4.61602 -0.50295
0.81927 0.20606
0.79126 0.21630
2.56243 1.26604
4.24891 -0.05954
0.72569 0.00445
1.12277 0.79430
5.14901 -0.83166
0.63077 -0.18774
4.64342 -0.47646
0.72976 0.09255
0.72698 0.09287
0.96360 0.64482
4.29576 -0.19872
4.66229 -0.51219
4.68695 -0.59172
0.76490 0.05046
0.79126 0.04924
5.06005 -0.76403
0.80731 0.14777
0.86444 0.20833
5.28256 -0.84246
4.30591 -0.08538
0.71060 0.01758
2.66216 1.26938
5.25395 -0.91018
4.86271 -0.74073
0.71542 0.09802
1.19698 0.80120
4.95865 -0.75247
0.66717 0.12877
0.65480 -0.07684
0.72864 0.12802
0.83175 0.20731
1.27542 1.01338
1.06218 0.70605
0.70212 0.09944
0.64342 0.04642
1.23234 0.90283
1.00748 0.56365
4.32273 -0.18447
5.17360 -0.89165
0.70461 0.04808
0.70633 0.01990
1.70324 1.35446
0.81070 0.13146
0.73055 0.12462
0.72198 0.13956
0.72526 -0.00535
1.14553 0.92227
4.60988 -0.48352
5.17466 -0.87277
0.70005 0.09592
0.96476 0.55877
0.67517 0.08204
4.72021 -0.65680
4.36132 -0.14425
4.35431 -0.17556
5.21378 -0.89178
4.54245 -0.38978
4.27852 -0.07425
4.67805 -0.57296
2.63447 1.28394
0.74493 0.11542
0.80987 0.19267
0.76540 0.14298
0.77601 0.15770
0.72729 0.06205
5.22641 -0.92510
0.80056 0.16947
0.80518 0.11732
0.70864 0.01661
0.74502 0.15121
5.22266 -0.86251
0.78948 0.15622
5.28486 -0.89288
2.60624 1.23341
0.77202 -0.01693
5.21178 -0.84121
1.12552 0.83674
1.31717 1.01488
0.70997 -0.00429
4.65740 -0.55478
0.74301 0.09096
2.45957 1.24123
4.28781 -0.10249
0.84370 0.16932
1.02194 0.55912
0.96794 0.56084
4.80159 -0.68967
1.05795 0.80454
4.65569 -0.61970
5.23157 -0.87229
5.20406 -0.91098
0.79582 0.15801
4.30108 -0.10902
0.66318 -0.05854
0.77571 0.09486
4.59197 -0.48094
4.34474 -0.17932
0.61564 -0.10366
0.72753 0.07695
4.67661 -0.54214
4.65697 -0.52787
0.77396 0.13550
4.37855 -0.29224
4.70072 -0.55971
0.76112 0.03329
0.86874 0.26966
1.05858 0.74859
0.74423 -0.00655
4.61918 -0.54768
0.69163 0.10336
4.87400 -0.71552
5.21467 -0.84888
1.01253 0.70585
1.35507 1.16054
1.24632 0.91391
0.75007 0.09362
0.69959 0.03732
4.64601 -0.47402
0.74000 0.06873
0.65843 0.09370
0.80778 0.13756
4.32943 -0.14523
0.62146 -0.14137
5.22962 -0.87237
5.18064 -0.85308
0.66900 -0.06721
5.22518 -0.83718
0.81672 0.20500
1.36363 1.07322
0.92872 0.49130
0.73379 0.11244
1.24149 0.92484
5.16649 -0.91195
0.60864 -0.09153
0.77174 0.17012
4.74627 -0.57645
4.26474 -0.08216
4.64136 -0.53431
0.70047 0.07031
0.75731 0.10146
0.73855 0.01683
0.75910 0.07693
4.60376 -0.44796
4.66627 -0.53894
0.74464 0.06551
4.28137 -0.08763
5.21593 -0.86043
5.19315 -0.87944
1.58432 1.23156
0.78005 0.13739
4.25628 -0.03583
1.23230 0.92279
1.01182 0.53348
0.71198 -0.03251
1.22376 0.90089
4.33862 -0.16154
4.28727 -0.01069
0.74273 -0.02547
0.77415 0.12596
0.84484 0.30501
0.73038 -0.01291
1.03632 0.69554
4.24180 0.02502
0.80571 0.19068
5.16975 -0.84490
0.76612 0.06616
5.24670 -0.88444
1.36117 1.03140
2.60330 1.21566
5.20924 -0.88190
4.62250 -0.50695
0.77323 0.10028
4.30471 -0.09434
0.72791 -0.04683
4.29321 -0.02673
0.83003 0.28996
2.69488 1.24432
0.95278 0.54906
4.80527 -0.66569
1.00482 0.67418
0.81043 0.18612
5.38267 -0.80359
4.71995 -0.61324
0.71777 0.00507
5.18650 -0.89040
5.19201 -0.85207
1.14603 0.87696
0.78750 0.13886
4.56921 -0.42989
0.70737 0.04197
4.97576 -0.75097
4.67967 -0.59790
4.26290 0.00707
1.32297 1.03160
1.92126 1.19129
0.67458 0.00759
4.59538 -0.51876
