# ra dec
0.67595 -0.13039
0.66436 -0.15532
5.16637 -0.88464
4.32883 -0.16065
0.64477 -0.09553
0.75182 0.07712
4.64109 -0.47383
5.20246 -0.86674
0.73035 0.07648
0.71559 0.00377
0.79132 0.08770
5.17320 -0.90776
0.79577 0.22754
0.76569 0.15875
5.12802 -0.85247
4.43502 -0.22934
4.55028 -0.39235
0.70444 0.00104
0.79089 0.21574
0.78112 0.18603
5.23147 -0.87680
0.65514 -0.10910
4.31741 -0.08030
0.82080 0.14470
4.66647 -0.53377
0.62414 -0.10507
4.71069 -0.56158
0.72024 0.07885
0.70203 -0.08466
0.96672 0.61812
4.57646 -0.48806
0.78527 0.20484
4.64711 -0.48731
4.26868 -0.07258
1.10510 0.80329
0.68099 -0.06421
5.22349 -0.85584
0.83715 0.23674
0.72982 0.06548
5.20870 -0.91033
4.23074 0.03260
5.24304 -0.82855
0.79337 0.12155
1.15412 0.98294
4.62192 -0.46184
0.72131 -0.01648
4.36109 -0.27097
5.26440 -0.86475
0.67536 0.01209
1.48293 1.07740
0.81336 0.24199
4.90575 -0.76016
0.74071 0.09356
4.24639 -0.11002
1.26574 0.95458
4.40676 -0.26973
0.74903 0.04273
4.37414 -0.22841
0.66118 -0.08292
0.71833 0.03228
0.60194 -0.20492
5.06824 -0.72753
0.64809 -0.08516
4.29733 -0.10996
1.00181 0.61029
4.35458 -0.15332
5.18964 -0.89116
1.66329 1.27344
0.73366 0.10275
1.09386 0.65262
5.22509 -0.87238
0.63007 -0.09339
0.74930 -0.00134
0.80232 0.18168
5.20637 -0.87572
4.63240 -0.39430
0.92564 0.59304
4.66021 -0.47077
0.71043 0.00889
4.26541 0.00318
1.22269 0.93333
1.24484 0.96198
4.34750 -0.20977
4.65423 -0.50008
4.94614 -0.74522
1.00790 0.73951
0.80582 0.27665
0.67341 0.06621
0.67187 0.00741
0.78395 0.12311
4.59892 -0.41035
5.27308 -0.85519
4.56126 -0.47656
0.82243 0.21103
0.96497 0.62767
5.09280 -0.76810
0.74983 0.17899
5.03144 -0.78389
0.69555 -0.00882
4.27210 0.01104
0.71174 0.06677
1.06820 0.77891
4.32002 -0.13176
0.74366 0.10964
4.86157 -0.71473
5.19523 -0.91251
0.76986 0.15130
4.32464 -0.15618
1.36843 1.00100
0.71528 0.01807
4.32894 -0.13745
5.17748 -0.88016
0.76763 0.04451
0.72803 0.12712
5.24247 -0.84106
4.30259 -0.09522
0.76435 0.14054
0.83030 0.14095
0.75784 0.01072
0.75685 0.10082
0.75365 0.14897
0.79329 0.20917
0.73951 0.06708
0.77263 0.10663
4.40859 -0.25685
4.32685 -0.10322
0.74479 0.11046
4.22155 -0.07159
0.67047 -0.15021
4.31700 -0.17234
4.30688 -0.08083
4.25706 -0.10410
4.63545 -0.54522
1.17558 0.83425
0.75915 0.19444
0.74556 0.03619
5.21202 -0.82614
5.19670 -0.84291
0.76640 0.03680
0.62142 -0.16580
0.77765 0.16268
4.89912 -0.73892
0.79134 0.20208
0.70089 0.01185
0.71964 -0.00695
0.75610 0.01885
4.27055 -0.10232
5.22225 -0.89720
0.75790 0.09684
0.75845 0.07676
0.66017 -0.02824
0.69255 -0.04505
1.17576 0.88504
5.16049 -0.87831
4.26752 -0.10950
0.76437 0.16056
0.72640 0.00310
5.26918 -0.84508
0.77522 0.14905
1.10315 0.89688
0.71260 -0.08733
0.78319 0.19417
0.80680 0.11845
0.74530 0.07826
0.67965 -0.03234
0.77762 0.07914
1.13816 0.93369
4.58266 -0.46080
0.74979 -0.00777
0.88843 0.38654
4.63640 -0.51568
5.30134 -0.93631
0.70355 -0.10762
1.06648 0.73149
5.23966 -0.83713
1.02290 0.76796
4.61813 -0.47266
5.21337 -0.84218
4.64230 -0.51083
1.05686 0.76256
1.12155 0.76238
0.73654 0.01400
0.85387 0.25161
1.08567 0.84809
0.72714 0.01576
5.24536 -0.84342
4.59114 -0.50244
5.18389 -0.87154
0.82807 0.14406
5.02940 -0.76161
4.64797 -0.54793
1.12000 0.80297
4.32889 -0.17341
0.68966 -0.00789
0.75155 0.03757
4.61404 -0.50238
0.97524 0.54932
0.97334 0.62643
0.84732 0.37349
5.18508 -0.83015
5.20804 -0.92324
0.62867 -0.08760
1.08058 0.78059
4.33167 -0.10288
1.12579 0.83974
1.03985 0.86214
4.62138 -0.47749
5.27605 -0.83664
0.67202 -0.14237
5.21024 -0.87933
0.71797 0.00165
1.53815 1.12211
5.20402 -0.84011
4.25644 -0.09059
4.61057 -0.37015
0.81582 0.21803
2.63544 1.25764
0.67012 -0.15392
0.78633 0.16280
0.75203 0.05648
0.78494 0.15570
0.78259 0.09366
0.70263 0.05122
4.53070 -0.36625
0.71182 0.00983
0.77356 0.05389
1.15532 0.84382
0.71576 0.07450
5.17465 -0.84938
4.30500 -0.13162
1.08796 0.70618
0.68934 0.01354
1.06278 0.76071
0.80472 0.11909
5.18309 -0.88258
0.62651 -0.19777
0.76859 0.16056
4.64287 -0.47529
0.73966 0.15511
0.74655 0.06243
4.70934 -0.60614
0.81621 0.16059
0.80459 0.10356
0.79243 0.09298
4.30173 -0.04111
0.63689 -0.16168
4.23363 0.08504
4.82712 -0.71263
0.68306 -0.02708
4.25475 -0.06235
5.21695 -0.87767
0.69308 -0.05659
0.78077 0.08440
0.79941 0.13598
5.01906 -0.76450
0.77296 0.17051
0.75923 0.15483
5.22183 -0.86334
4.80789 -0.66841
4.57731 -0.49369
1.00937 0.78457
1.06478 0.73918
0.70654 -0.01148
0.78373 0.13920
0.73946 -0.00103
4.66584 -0.54763
4.30467 -0.12932
0.72626 0.03060
0.75600 -0.02582
0.76295 0.12610
0.80494 0.15726
5.22138 -0.91033
0.76764 0.05074
1.00278 0.73764
5.21597 -0.86802
5.23230 -0.85848
0.71392 0.10078
0.75150 -0.01216
0.75813 0.02792
4.27077 -0.10511
0.72336 0.01595
4.30004 -0.08533
4.99943 -0.75731
4.21981 -0.03385
0.75838 0.11918
0.73845 0.06027
4.30184 -0.08219
4.64645 -0.47680
4.31514 -0.08732
4.74302 -0.60377
4.37235 -0.21372
0.74205 0.09819
4.38136 -0.21125
2.71948 1.27609
0.75492 0.06361
5.03333 -0.75161
0.71780 0.06950
5.22981 -0.88914
0.69537 -0.00937
0.67922 -0.03215
5.21079 -0.90001
4.71684 -0.62036
1.42152 1.16505
5.06970 -0.74968
4.38908 -0.29408
4.39821 -0.15859
5.07036 -0.79108
4.62219 -0.51968
4.67026 -0.49878
0.76048 0.06232
1.48145 1.09359
0.88860 0.47063
4.30967 -0.00783
5.22223 -0.81727
1.45943 1.06431
0.59781 -0.21166
0.76420 -0.05001
0.78668 0.17146
0.69725 0.02963
0.71998 -0.08726
4.79077 -0.65697
1.20323 0.87911
0.70381 -0.16273
1.11046 0.85285
0.82263 0.26172
0.75885 0.08550
4.30837 -0.10435
0.60042 -0.20845
2.69323 1.23746
0.69714 0.03021
0.98093 0.55366
0.68314 0.02267
